Song,Artist,Rank,Last Week,Peak Rank,Weeks On Chart
All I Want For Christmas Is You,Mariah Carey,1,1,1,51
Easy On Me,Adele,2,5,1,12
Rockin' Around The Christmas Tree,Brenda Lee,3,2,2,45
Jingle Bell Rock,Bobby Helms,4,3,3,42
A Holly Jolly Christmas,Burl Ives,5,4,4,26
Stay,The Kid LAROI & Justin Bieber,6,9,1,25
Heat Waves,Glass Animals,7,15,7,50
It's The Most Wonderful Time Of The Year,Andy Williams,8,6,5,27
Shivers,Ed Sheeran,9,23,5,16
Feliz Navidad,Jose Feliciano,10,8,6,20
Last Christmas,Wham!,11,7,7,25
Industry Baby,Lil Nas X & Jack Harlow,12,22,1,23
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,13,17,12,12
Need To Know,Doja Cat,14,24,8,29
Sleigh Ride,The Ronettes,15,10,10,16
Super Gremlin,Kodak Black,16,26,16,8
abcdefu,GAYLE,17,27,15,6
The Christmas Song (Merry Christmas To You),Nat King Cole,18,11,11,32
Bad Habits,Ed Sheeran,19,31,2,27
Cold Heart (PNAU Remix),Elton John & Dua Lipa,20,29,11,17
Underneath The Tree,Kelly Clarkson,21,13,12,15
Christmas (Baby Please Come Home),Darlene Love,22,16,16,12
Santa Tell Me,Ariana Grande,23,18,17,13
Rudolph The Red-Nosed Reindeer,Gene Autry,24,19,16,17
White Christmas,Bing Crosby,25,21,12,25
Run Rudolph Run,Chuck Berry,26,25,10,14
Happy Holiday / The Holiday Season,Andy Williams,27,20,18,13
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),28,32,5,8
(There's No Place Like) Home For The Holidays,Perry Como,29,28,22,12
Broadway Girls,Lil Durk Featuring Morgan Wallen,30,14,14,2
Good 4 U,Olivia Rodrigo,31,38,1,33
Ghost,Justin Bieber,32,39,32,14
Fancy Like,Walker Hayes,33,45,3,28
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,34,12,8,19
Thats What I Want,Lil Nas X,35,49,10,15
Essence,Wizkid Featuring Justin Bieber & Tems,36,,9,25
Jingle Bells,Frank Sinatra,37,33,33,4
Kiss Me More,Doja Cat Featuring SZA,38,,3,37
One Right Now,Post Malone & The Weeknd,39,50,6,8
Oh My God,Adele,40,57,5,6
Christmastime Is Here,Vince Guaraldi Trio,41,48,41,2
You Right,Doja Cat & The Weeknd,42,,11,26
Happier Than Ever,Billie Eilish,43,51,11,22
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,44,54,30,20
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,45,35,35,3
Better Days,NEIKED X Mae Muller X Polo G,46,56,29,11
It's Beginning To Look A Lot Like Christmas,Michael Buble,47,30,20,10
Love Nwantiti (Ah Ah Ah),CKay,48,52,31,15
I Hate U,SZA,49,42,7,4
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",50,,50,1
Buy Dirt,Jordan Davis Featuring Luke Bryan,51,59,30,21
Knife Talk,Drake Featuring 21 Savage & Project Pat,52,53,4,17
Way 2 Sexy,Drake Featuring Future & Young Thug,53,58,1,17
Surface Pressure,Jessica Darrow,54,,54,1
You Should Probably Leave,Chris Stapleton,55,61,39,26
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,56,60,21,16
Whiskey And Rain,Michael Ray,57,64,57,13
Sand In My Boots,Morgan Wallen,58,66,32,24
Girls Want Girls,Drake Featuring Lil Baby,59,65,2,17
One Mississippi,Kane Brown,60,73,59,14
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",61,67,17,12
Big Energy,Latto,62,69,62,10
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,63,72,53,14
Enemy,Imagine Dragons X JID,64,70,64,6
Pick Out A Christmas Tree,Dan + Shay,65,63,63,5
All Too Well (Taylor's Version),Taylor Swift,66,68,1,7
Merry Christmas,Ed Sheeran & Elton John,67,55,55,4
Have Mercy,Chloe,68,75,28,16
Christmas Tree Farm (Old Timey Version),Taylor Swift,69,62,62,5
'Til You Can't,Cody Johnson,70,82,65,12
Woman,Doja Cat,71,76,62,22
My Universe,Coldplay x BTS,72,84,1,14
Freedom Was A Highway,Jimmie Allen & Brad Paisley,73,86,73,12
I'll Be Home For Christmas,Camila Cabello,74,71,71,4
For Tonight,Giveon,75,80,75,13
By Your Side,Rod Wave,76,78,58,5
To Be Loved By You,Parker McCollum,77,83,77,5
Heart On Fire,Eric Church,78,92,78,6
Christmas Tree,V,79,,79,1
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,80,93,45,7
Scorpio,Moneybagg Yo,81,90,81,6
Burn,Juice WRLD,82,74,34,3
Hrs And Hrs,Muni Long,83,,83,1
Life Goes On,Oliver Tree,84,81,81,4
Tequila Little Time,Jon Pardi,85,89,68,12
Same Boat,Zac Brown Band,86,94,48,15
Do It To It,Acraze Featuring Cherish,87,97,87,2
Doin' This,Luke Combs,88,,53,3
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,89,,87,7
Poke It Out,Wale Featuring J. Cole,90,,79,7
Bubbly,Young Thug With Drake & Travis Scott,91,96,20,11
I Am Woman,Emmy Meli,92,,92,1
Christmas Isn't Canceled (Just You),Kelly Clarkson,93,79,79,2
Pressure,Ari Lennox,94,,94,1
Wandered To LA.,Juice WRLD & Justin Bieber,95,87,49,4
Beers On Me,"Dierks Bentley, Breland & HARDY",96,,96,1
Already Dead,Juice WRLD,97,88,20,6
No Love,Summer Walker & SZA,98,98,13,8
23,Sam Hunt,99,,99,1
Family Ties,Baby Keem & Kendrick Lamar,100,100,18,18
